dataset,task,model,mitigation,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,test_auc,test_auprc,test_precision,test_recall,mad,cos_sim,train_time_sec,num_params
rel-f1,driver-dnf,sage,dropedge,8,64,0,0.7094017094017093,0.972260043366111,0.9285714285714286,1.0,0.625,0.8656949882917448,0.8095238095238095,1.0,0.3583224415779114,0.6416774988174438,39.9,1720385
rel-f1,driver-dnf,sage,dropedge,16,64,0,0.36752136752136755,0.9299287484380137,0.9285714285714286,1.0,0.4448529411764707,0.7778288915533942,0.8095238095238095,1.0,0.1860022395849228,0.8139978051185608,94.4,3437633
rel-trial,study-outcome,sage,none,1,64,0,0.5876902595168849,0.668064086812514,0.5873015873015873,0.9893048128342246,0.5950564817841706,0.6799895236911873,0.5873015873015873,0.9958592132505176,0.7149229049682617,0.2850770950317383,17.2,254145
rel-trial,study-outcome,sage,none,2,64,0,0.589825722952658,0.6698824712366876,0.6027713625866051,0.93048128342246,0.5809814391050089,0.6594636565896931,0.5961800818553888,0.9047619047619048,0.6549138426780701,0.3450861871242523,31.0,501825
rel-trial,study-outcome,sage,none,4,64,0,0.5675380827956416,0.6615729145434149,0.5853403141361256,0.9911347517730497,0.5420196239246651,0.6242024559824075,0.5857843137254902,0.9815195071868583,0.4097382426261902,0.5902617573738098,94.6,997185
rel-trial,study-outcome,sage,none,8,64,0,0.5646271332345294,0.6533961701941928,0.5949943117178612,0.9306049822064056,0.552975905058739,0.6291392331262567,0.5885486018641811,0.911340206185567,0.34157639741897583,0.6584236025810242,721.2,1987905
rel-trial,study-outcome,sage,none,16,64,0,0.5,0.5824742268041238,0.5824742268041238,1.0,0.5,0.5872442839951865,0.5872442839951865,1.0,0.005691695027053356,0.994308352470398,849.6,3969345
rel-trial,study-outcome,sage,residual,1,64,0,0.590585197396343,0.6732665523859356,0.587737843551797,0.9910873440285205,0.5936580581889506,0.6783445442111012,0.5878048780487805,0.9979296066252588,0.7240625023841858,0.275937557220459,15.4,254145
rel-trial,study-outcome,sage,residual,2,64,0,0.6019594440647072,0.677789864463301,0.6060606060606061,0.9269162210338681,0.5710744251934183,0.6458341520499232,0.5952380952380952,0.9316770186335404,0.7479164004325867,0.2520836293697357,28.8,501825
rel-trial,study-outcome,sage,residual,4,64,0,0.5817958015606391,0.6687512617693476,0.5902383654937571,0.9219858156028369,0.6001700181392592,0.6747285063760875,0.583883751651255,0.9075975359342916,0.7007237076759338,0.2992762625217438,89.2,997185
rel-trial,study-outcome,sage,residual,8,64,0,0.5,0.5844559585492228,0.5844559585492228,1.0,0.5,0.5857487922705314,0.5857487922705314,1.0,0.003200196661055088,0.9967998266220093,355.3,1987905
rel-trial,study-outcome,sage,residual,16,64,0,0.5,0.5824742268041238,0.5824742268041238,1.0,0.5,0.5872442839951865,0.5872442839951865,1.0,0.0019884740468114614,0.9980115294456482,808.0,3969345
rel-trial,study-outcome,sage,dropedge,1,64,0,0.6098758482659412,0.6719547388459937,0.6101895734597157,0.9180035650623886,0.6097792791156635,0.6925561506760117,0.6008119079837618,0.9192546583850931,0.734337568283081,0.26566243171691895,17.9,254145
rel-trial,study-outcome,sage,dropedge,2,64,0,0.5847774516505166,0.6638472284858327,0.5935412026726058,0.9500891265597148,0.5891661520952138,0.6580266487002608,0.5903771131339401,0.9399585921325052,0.6883562207221985,0.31164368987083435,32.8,501825
rel-trial,study-outcome,sage,dropedge,4,64,0,0.565675066330621,0.6587573783729422,0.5855194123819517,0.9911190053285968,0.5665038199363143,0.6528697622902833,0.5856966707768188,0.9834368530020704,0.37562960386276245,0.6243703961372375,103.2,997185
rel-trial,study-outcome,sage,dropedge,8,64,0,0.5592069647944197,0.6365494155713225,0.5835929387331257,1.0,0.5099080352551454,0.6096656132857483,0.5884476534296029,1.0,0.20825394988059998,0.7917460799217224,328.9,1987905
rel-trial,study-outcome,sage,dropedge,16,64,0,0.5,0.5848861283643892,0.5848861283643892,1.0,0.5,0.5865384615384616,0.5865384615384616,1.0,0.0030970233492553234,0.9969029426574707,518.0,3969345
