dataset,task,setting,arch,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,val_accuracy,val_macro_f1,test_auc,test_auprc,test_precision,test_recall,test_accuracy,test_macro_f1,train_time_sec,num_params
rel-stack,post-votes,homo,gat,2,64,0,0.624253124996679,0.1285930865461164,0.5437352245862884,0.0120747585048299,,,0.6156981158394115,0.136861959304629,0.5737704918032787,0.0120526182878394,,,2432.3,10049
rel-stack,post-votes,homo,hgt,2,64,0,0.6438277559886743,0.1399851839195816,0.6929133858267716,0.0046424520587692,,,0.6389876933323644,0.1498132806760334,0.7565543071161048,0.0046428243081732,,,2918.1,38859
rel-stack,post-votes,hetero,sage,2,64,0,0.6381102791351935,0.1312079262765905,0.5833333333333334,0.0014673129830996,,,0.637201010706349,0.1419713607705456,0.6138613861386139,0.0014288348082595,,,3916.8,189633
rel-stack,post-votes,hetero,gat,2,64,0,0.6179081148534442,0.1195823386132414,1.0,2.6362270318719848e-05,,,0.6145928088117489,0.1288471304140187,0.5,2.3035636129091703e-05,,,2708.9,195265
rel-stack,post-votes,hetero,hgt,2,64,0,0.6461166952181308,0.1406897086117618,0.6191275167785235,0.0097479790775083,,,0.6415673065954731,0.1512820443578632,0.6504424778761062,0.0101531023368251,,,8728.2,324735
rel-stack,post-votes,homo_noenc,sage,2,64,0,0.6393181360712465,0.1291250496726527,0.5,5.243426054584065e-05,,,0.6354848522834611,0.1385667069797045,0.4,4.588629376405268e-05,,,2801.4,8769
rel-stack,post-votes,homo_noenc,gat,2,64,0,0.619398998534034,0.1185233640909791,0.6363636363636364,0.0001839636277627,,,0.6112030610256294,0.1258661885268555,0.3125,0.0001152100278808,,,3420.2,4737
rel-stack,post-votes,homo_noenc,hgt,2,64,0,0.6197399035249087,0.1240184494222628,0.5667574931880109,0.0054591742998871,,,0.611464060175354,0.1330460539869703,0.5758354755784062,0.0051454035925942,,,5227.0,25739
rel-arxiv,author-category,homo,sage,2,64,0,,,,,0.5035755478662053,0.2951802637289605,,,,,0.4726264027234901,0.3007140462414265,233.9,20725
rel-arxiv,author-category,homo,sage,3,64,0,,,,,0.5077021658336537,0.3152489973927668,,,,,0.47403858277644684,0.3168451201000386,337.9,28981
rel-arxiv,author-category,hetero,sage,2,64,0,,,,,0.4183262847622709,0.18021953080530526,,,,,0.38497036943638885,0.17604867193420984,252.2,104821
rel-arxiv,author-category,hetero,sage,3,64,0,,,,,0.5041394335511983,0.30225506904357685,,,,,0.4693733451015004,0.30402725565645383,791.6,203893
rel-arxiv,author-category,homo_noenc,sage,2,64,0,,,,,0.3792387543252595,0.1456478979068919,,,,,0.34951456310679613,0.1419698302072225,171.9,11893
rel-arxiv,author-category,homo_noenc,sage,3,64,0,,,,,0.5022939894912213,0.28742615360230767,,,,,0.47045769764216366,0.28864054861798233,548.3,20149
rel-arxiv,author-category,hybrid,sage,2,64,0,,,,,0.5272587466359092,0.327699538785841,,,,,0.493985626024461,0.3354950882218492,478.5,111541
rel-arxiv,author-category,hybrid,sage,3,64,0,,,,,0.5164680251185442,0.30531467623334646,,,,,0.48621863573319885,0.3108434955955505,325.2,119797
rel-arxiv,author-category,homo,gat,2,64,0,,,,,0.5136998590285787,0.3483717907155316,,,,,0.48210818307905684,0.3552693097052296,389.1,12789
rel-arxiv,author-category,homo,gat,3,64,0,,,,,0.41794181724977575,0.17107036130089884,,,,,0.4147774555541546,0.17762589460926673,952.2,17077
rel-arxiv,author-category,hetero,gat,2,64,0,,,,,0.4553120594643086,0.199571542770935,,,,,0.42806707855251547,0.201690499849649,428.9,107893
rel-arxiv,author-category,hetero,gat,3,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,292.0,208501
rel-arxiv,author-category,homo_noenc,gat,2,64,0,,,,,0.48037934127899523,0.26519223228198796,,,,,0.44667759425040976,0.26535563804451023,474.5,7989
rel-arxiv,author-category,homo_noenc,gat,3,64,0,,,,,0.08332692554145842,0.003016377137141707,,,,,0.08135165805068717,0.0030706716118503556,138.2,12277
rel-arxiv,author-category,hybrid,gat,2,64,0,,,,,0.515519671921056,0.3261421212738382,,,,,0.481805573067709,0.33156376157968453,924.4,109109
rel-arxiv,author-category,hybrid,gat,3,64,0,,,,,0.4143278226323209,0.18151609108449107,,,,,0.3791199092169966,0.17486379731836013,2060.3,113397
rel-arxiv,author-category,homo,hgt,2,64,0,,,,,0.4971677559912854,0.3396812079289748,,,,,0.47229857521119656,0.3487816967189069,274.7,41599
rel-arxiv,author-category,homo,hgt,3,64,0,,,,,0.47084454696911443,0.24507911310062763,,,,,0.4432984491236918,0.24522446745450924,333.3,60292
