dataset,task,mode,arch,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,val_accuracy,val_macro_f1,test_auc,test_auprc,test_precision,test_recall,test_accuracy,test_macro_f1,train_time_sec,num_params
rel-stack,user-engagement,mpnn_u,gat,3,64,0,0.7576274943137323,0.3040539162637823,0.660377358490566,0.0011192478654344,,,0.7560925451807224,0.2919111870756432,0.5970149253731343,0.0013091147111765,,,2745.7,379713
rel-stack,user-engagement,mpnn_u,gat,3,64,0,0.7574504025588351,0.3037576655037725,0.6666666666666666,0.0011512263758754,,,0.7559192350642601,0.2914601842236267,0.59375,0.0012436589756177,,,2856.6,379713
rel-stack,user-engagement,mpnn_d,gat,1,64,0,0.8476395317982193,0.2254320083046544,0.5136476426799007,0.0860349127182044,,,0.8442463948563832,0.1976809403156925,0.42,0.0783907092492741,,,663.9,5441
rel-stack,user-engagement,mpnn_d,gat,1,64,0,0.8476287224613397,0.2254074808401732,0.5136476426799007,0.0860349127182044,,,0.8442518016247168,0.1976691002793489,0.42,0.0783907092492741,,,674.1,5441
rel-stack,user-engagement,mpnn_d,gat,2,64,0,0.8467462979229422,0.2086888518579109,0.4933333333333333,0.0461346633416458,,,0.8459952582230463,0.1958570679539202,0.4890829694323144,0.0464537536291995,,,1750.7,61889
rel-stack,user-engagement,mpnn_d,gat,2,64,0,0.846136817237167,0.2079245470170831,0.52046783625731,0.0369908561928512,,,0.8452263117432017,0.1921320339450126,0.5,0.0369141435089174,,,1821.9,61889
rel-stack,user-engagement,mpnn_d,gat,3,64,0,0.7491929216236612,0.2930002262980906,0.3323442136498516,0.0035763323434556,,,0.7472425640766936,0.2787474153310765,0.3550913838120104,0.0044679522980387,,,2833.5,118337
rel-stack,user-engagement,mpnn_d,gat,3,64,0,0.7486544820057672,0.2920186106240657,0.3487031700288184,0.0038692760296751,,,0.7465915719744718,0.2786727744666543,0.34,0.0044582855269627,,,2650.8,118337
rel-stack,user-engagement,dir_gnn,gat,1,64,0,0.8541814775009793,0.2440832865124302,0.5784313725490197,0.0735660847880299,,,0.8499608167749219,0.2228896145647847,0.5131578947368421,0.0808793031936955,,,1043.2,34561
rel-stack,user-engagement,dir_gnn,gat,1,64,0,0.8541062207003819,0.2445991591991112,0.5903225806451613,0.0760598503740648,,,0.8499893891869066,0.2234014049111705,0.5119363395225465,0.0800497718788884,,,1033.7,34561
rel-stack,user-engagement,dir_gnn,gat,2,64,0,0.8544408393059715,0.2108916935508734,0.6666666666666666,0.0166251039068994,,,0.8500174439038471,0.1965480026145041,0.6142857142857143,0.0178349232683533,,,2210.3,155905
rel-stack,user-engagement,dir_gnn,gat,2,64,0,0.8542025107416509,0.2148321085409371,0.5263157894736842,0.0415627597672485,,,0.850793662305665,0.1950424245882437,0.4761904761904761,0.037328909166321,,,2676.6,155905
rel-stack,user-engagement,dir_gnn,gat,3,64,0,0.7558168793333446,0.3019325388828074,0.673469387755102,0.0010541447053186,,,0.7546002473235464,0.2887173587273349,0.5932203389830508,0.0011494630365529,,,2118.5,277249
rel-avito,user-visits,mpnn_u,sage,1,64,0,0.5035488414607705,0.905911875506142,0.9034991160479002,1.0,,,0.4919487599967636,0.8501915590875836,0.8505909380276232,1.0,,,224.5,8897
rel-avito,user-visits,mpnn_u,sage,2,64,0,0.614786762211919,0.9326676198384426,0.9034991160479002,1.0,,,0.6180150664729641,0.8937122555593832,0.8505909380276232,1.0,,,1687.2,190529
rel-stack,user-engagement,dir_gnn,gat,3,64,0,0.743944688484184,0.2845827677911334,0.5454545454545454,0.0026886022469033,,,0.7389871635127949,0.2682494306650312,0.4840182648401826,0.0034774621087855,,,5059.6,277249
rel-avito,user-visits,mpnn_u,sage,3,64,0,0.6283489398479563,0.93645624288326,0.9072967783230212,0.9419995569666988,,,0.6262189595600322,0.8998378802277264,0.8603151637152833,0.8900458820083954,,,835.8,372161
rel-avito,user-visits,mpnn_d,sage,1,64,0,0.5005528472648693,0.9069674632064222,0.9034991160479002,1.0,,,0.4934435642157926,0.8552571833327762,0.8505909380276232,1.0,,,115.0,4481
rel-avito,user-visits,mpnn_d,sage,2,64,0,0.606216461915841,0.9293598939348574,0.9034991160479002,1.0,,,0.610839850090247,0.8928932663394576,0.8505909380276232,1.0,,,398.9,71489
rel-avito,user-visits,mpnn_d,sage,3,64,0,0.6056629063796208,0.928918324119755,0.9034991160479002,1.0,,,0.6109846423510592,0.8929508447267789,0.8505909380276232,1.0,,,580.8,138497
rel-avito,user-visits,dir_gnn,sage,1,64,0,0.6043901810466638,0.9294125773730252,0.9034991160479002,1.0,,,0.6071939262265859,0.8916050782759336,0.8505909380276232,1.0,,,659.1,37761
rel-avito,user-visits,dir_gnn,sage,2,64,0,0.6134304608595342,0.9317835188277308,0.9034991160479002,1.0,,,0.6190301344288749,0.8945332525790448,0.8505909380276232,1.0,,,417.3,161857
rel-avito,user-visits,dir_gnn,sage,3,64,0,0.6251646539466578,0.9349705643322406,0.914819944598338,0.8290999040094513,,,0.6250273365545909,0.8983259163181286,0.8797846889952153,0.718004620741271,,,1128.5,285953
rel-avito,user-visits,mpnn_u,gat,1,64,0,0.5727842292293812,0.9208284340553736,0.9034991160479002,1.0,,,0.5836991800956631,0.8797992378115822,0.8505909380276232,1.0,,,304.0,11713
